County,2000,2001,2002,2003,2004,sum
CA:_Alameda_County,80,71,75,96,73,395
CA:_Contra_Costa_County,57,71,49,52,66,295
CA:_Marin_County,20,14,18,23,26,101
CA:_San_Francisco_County,44,44,50,54,47,239
CA:_San_Mateo_County,43,32,40,47,41,203
CA:_Monterey_County,21,15,22,20,19,97
CA:_San_Benito_County,4,3,4,2,1,14
CA:_Santa_Clara_County,83,94,77,106,90,450
CA:_Santa_Cruz_County,12,14,22,14,12,74
CA:_Los_Angeles_Registry,431,430,492,482,489,2324
CA:_Alpine_County,0,0,0,0,0,0
CA:_Amador_County,4,2,3,3,2,14
CA:_Butte_County,14,10,20,20,14,78
CA:_Calaveras_County,4,7,2,2,2,17
CA:_Colusa_County,0,1,1,1,1,4
CA:_Del_Norte_County,5,3,0,2,0,10
CA:_El_Dorado_County,11,13,21,8,10,63
CA:_Fresno_County,33,44,47,46,50,220
CA:_Glenn_County,3,1,2,0,3,9
CA:_Humboldt_County,8,8,9,8,12,45
CA:_Imperial_County,6,8,5,7,5,31
CA:_Inyo_County,1,0,3,1,1,6
CA:_Kern_County,48,40,39,36,36,199
CA:_Kings_County,6,7,6,11,10,40
CA:_Lake_County,4,1,3,7,4,19
CA:_Lassen_County,1,2,4,2,1,10
CA:_Madera_County,5,7,4,10,8,34
CA:_Mariposa_County,1,0,0,3,0,4
CA:_Mendocino_County,4,4,7,4,10,29
CA:_Merced_County,12,9,10,9,10,50
CA:_Modoc_County,2,0,2,0,2,6
CA:_Mono_County,2,0,0,1,0,3
CA:_Napa_County,13,7,12,11,7,50
CA:_Nevada_County,13,10,7,5,9,44
CA:_Orange_County,190,144,158,159,178,829
CA:_Placer_County,17,20,33,20,30,120
CA:_Plumas_County,1,2,1,3,1,8
CA:_Riverside_County,93,101,84,110,124,512
CA:_Sacramento_County,68,74,90,88,82,402
CA:_San_Bernardino_County,82,97,83,98,83,443
CA:_San_Diego_County,158,165,189,180,161,853
CA:_San_Joaquin_County,35,26,43,31,32,167
CA:_San_Luis_Obispo_County,23,20,19,15,16,93
CA:_Santa_Barbara_County,26,26,23,25,33,133
CA:_Shasta_County,9,16,15,9,11,60
CA:_Sierra_County,0,0,1,2,0,3
CA:_Siskiyou_County,3,4,2,6,4,19
CA:_Solano_County,17,17,27,28,36,125
CA:_Sonoma_County,27,40,32,27,45,171
