County,2000,2001,2002,2003,2004,sum
CA:_Alameda_County,809,710,757,756,685,3717
CA:_Contra_Costa_County,519,584,524,587,518,2732
CA:_Marin_County,126,143,167,149,137,722
CA:_San_Francisco_County,487,469,483,479,444,2362
CA:_San_Mateo_County,398,432,353,370,378,1931
CA:_Monterey_County,189,164,187,191,183,914
CA:_San_Benito_County,19,23,12,13,17,84
CA:_Santa_Clara_County,639,644,657,711,643,3294
CA:_Santa_Cruz_County,107,120,133,104,129,593
CA:_Los_Angeles_Registry,3986,4087,3963,3939,4004,19979
CA:_Alpine_County,1,1,0,1,0,3
CA:_Amador_County,35,40,35,40,32,182
CA:_Butte_County,193,194,193,175,182,937
CA:_Calaveras_County,41,35,41,34,39,190
CA:_Colusa_County,10,12,5,11,19,57
CA:_Del_Norte_County,24,21,23,21,26,115
CA:_El_Dorado_County,104,108,115,100,102,529
CA:_Fresno_County,367,370,364,371,402,1874
CA:_Glenn_County,21,18,18,8,21,86
CA:_Humboldt_County,91,106,104,93,108,502
CA:_Imperial_County,66,56,62,65,62,311
CA:_Inyo_County,16,16,24,16,25,97
CA:_Kern_County,357,390,356,393,389,1885
CA:_Kings_County,44,49,46,53,55,247
CA:_Lake_County,92,81,85,84,98,440
CA:_Lassen_County,9,11,21,6,10,57
CA:_Madera_County,51,83,69,65,82,350
CA:_Mariposa_County,19,19,15,21,19,93
CA:_Mendocino_County,76,82,57,52,73,340
CA:_Merced_County,100,104,98,107,92,501
CA:_Modoc_County,2,8,7,7,5,29
CA:_Mono_County,4,4,6,5,2,21
CA:_Napa_County,96,78,114,102,118,508
CA:_Nevada_County,96,86,83,77,71,413
CA:_Orange_County,1322,1356,1362,1264,1288,6592
CA:_Placer_County,175,161,200,197,183,916
CA:_Plumas_County,22,25,27,33,18,125
CA:_Riverside_County,969,944,965,1046,1048,4972
CA:_Sacramento_County,802,794,750,802,758,3906
CA:_San_Bernardino_County,839,822,792,822,833,4108
CA:_San_Diego_County,1604,1515,1510,1489,1445,7563
CA:_San_Joaquin_County,344,367,398,354,339,1802
CA:_San_Luis_Obispo_County,161,172,171,172,179,855
CA:_Santa_Barbara_County,215,194,212,196,216,1033
CA:_Shasta_County,172,146,175,178,185,856
CA:_Sierra_County,3,6,4,3,6,22
CA:_Siskiyou_County,53,43,45,40,43,224
CA:_Solano_County,235,212,242,217,221,1127
CA:_Sonoma_County,289,293,332,295,263,1472
CA:_Stanislaus_County,231,256,265,272,305,1329
CA:_Sutter_County,62,56,52,56,58,284
CA:_Tehama_County,75,79,72,48,67,341
CA:_Trinity_County,20,15,15,24,11,85
CA:_Tulare_County,157,187,172,155,196,867
CA:_Tuolumne_County,61,74,52,79,63,329
CA:_Ventura_County,380,376,351,327,371,1805
CA:_Yolo_County,92,92,72,80,106,442
CA:_Yuba_County,46,55,61,44,67,273
CT:_Fairfield_County,568,572,575,632,578,2925
CT:_Hartford_County,617,652,689,646,633,3237
CT:_Litchfield_County,127,152,157,159,155,750
CT:_Middlesex_County,135,100,125,119,124,603
CT:_New_Haven_County,626,649,717,699,704,3395
CT:_New_London_County,230,246,205,227,198,1106
CT:_Tolland_County,78,85,78,100,94,435
CT:_Windham_County,84,92,84,84,95,439
GA:_Clayton_County,110,111,99,126,118,564
GA:_Cobb_County,292,279,317,255,286,1429
GA:_DeKalb_County,330,269,269,323,290,1481
GA:_Fulton_County,428,405,428,400,393,2054
GA:_Gwinnett_County,187,270,233,218,255,1163
GA:_Glascock_County,3,1,6,7,1,18
GA:_Greene_County,13,6,18,11,16,64
GA:_Hancock_County,3,8,4,9,3,27
GA:_Jasper_County,6,6,13,17,7,49
GA:_Jefferson_County,17,17,13,11,10,68
GA:_Morgan_County,13,6,11,8,11,49
GA:_Putnam_County,16,23,20,17,15,91
GA:_Taliaferro_County,3,1,0,2,4,10
GA:_Warren_County,7,11,6,4,5,33
GA:_Washington_County,20,18,15,19,15,87
GA:_Appling_County,12,10,18,6,13,59
GA:_Atkinson_County,5,4,6,5,5,25
GA:_Bacon_County,5,8,10,10,6,39
